"RSTR_FCLTY_NO","YEAR","ARCD","FCLTY_TY","RSTR_NM","DTL_ADRES","AR","USE_PSBL_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCNDTN","CHCK_MATTER_NIGHT_OPN_AT","INPT_TIME","MODF_TIME","RM","RN_DTL_ADRES","CHCK_MATTER_WKEND_HDAY_OPN_AT","MNGDPT_CD","CHCK_MATTER_STAYNG_PSBL_AT","XCORD","YCORD","LO","LA","DTL_POSITION","WKDAY_OPER_BEGIN_TIME","WKDAY_OPER_END_TIME","WKEND_HDAY_OPER_BEGIN_TIME","WKEND_HDAY_OPER_END_TIME","FCLTY_SCLAS"
"쉼터시설번호","년도","지역코드","시설유형 중분류","쉼터명칭","상세주소","면적","이용가능인원","냉방기보유선풍기","냉방기보유에어컨","점검사항야간개방여부","입력시간","수정시간","비고","도로명상세주소","점검사항주말휴일개방여부","관리부서코드","점검사항숙박가능여부","X좌표","Y좌표","경도","위도","위치상세","평일운영시작시간","평일운영종료시간","주말휴일운영시작시간","주말휴일운영종료시간","시설유형 소분류"
"4372000092","2026","4372040000","001","오대리경로당","70","100","20","2","1","Y","2026-04-23 13:14:52.000","2026-07-24 07:10:37.000","","충청북도 보은군 산외면 오대길 9 (오대리경로당,마을회관)","Y","","","","","127.731103","36.579582","","0900","1800","","","004"
"4673000263","2026","1273032000","003","해평여성경로당","111-1","47.23","18","2","1","","2026-05-29 15:19:21.000","2026-05-29 15:19:21.000","","전남광주통합특별시 구례군 간전면 해평길 19-11 (해평마을회관)","","","","","","127.54237","35.172038","","","","","","001"
"4711300650","2026","4711370000","001","장량국민체육센터","97-13","1200","100","","2","Y","2026-06-01 13:24:50.000","2026-07-09 13:22:07.000","","경상북도 포항시 북구 장량로 56 (장량국민체육센터)","Y","","","","","129.386084","36.08158","","0900","1800","","","002"
"4482500213","2026","4482535000","003","황촌1리경로당","88-86","199.53","40","2","1","","2026-06-15 18:50:07.000","2026-08-05 11:25:37.000","","충청남도 태안군 원북면 옥파로 752","","","N","","","126.215632","36.868354","","","","","","001"
"2650000069","2026","2650078000","003","이동노동자쉼터(수영)","1091-1","42.49","15","0","1","Y","2026-06-23 15:43:33.000","2026-09-01 09:13:25.000","","부산광역시 수영구 수영로 지하 677 (도시철도수영역)","Y","","N","","","129.107365","35.170376","","0000","2400","","","002"
"4180000088","2026","4180025300","001","예일쎄띠앙.한전연천지사스마트승강장","684","18","50","","1","N","2026-06-24 15:39:06.000","2026-08-10 18:01:54.000","","경기도 연천군 전곡읍 전곡로 24 (전곡예일세띠앙아파트 101동)","Y","","N","","","127.072171","38.015254","","0000","2400","","","003"
"5221000409","2026","5221039000","003","장천마을회관","774-15","72.75","15","","","","2026-04-13 11:53:14.000","2026-07-21 17:08:45.000","","전북특별자치도 김제시 청하면 월현3길 198-5","","","N","","","126.86674","35.88042","","","","","","001"
"4673000274","2026","1273035000","003","광의경로당","781-35","65","16","2","1","","2026-05-29 15:47:34.000","2026-05-29 15:47:34.000","","전남광주통합특별시 구례군 광의면 구만제로 357 (광의면면민회관)","","","","","","127.438073","35.26081","","","","","","001"
"4117300177","2026","4117351000","001","비산사거리,이마트(10004)버스승강장","550-1","12","10","","1","Y","2026-06-04 13:18:59.000","2026-06-24 13:56:10.000","","경기도 안양시 동안구 관악대로 103 (103에비뉴)","Y","","","","","126.935406","37.399148","","0700","1800","","","003"
"4115000104","2026","4115054500","001","회룡역(스마트쉼터)","428","12","10","","1","Y","2026-06-15 11:47:37.000","2026-07-14 18:08:28.000","","경기도 의정부시 평화로 363-7 (회룡한주아파트 601동)","Y","","N","","","127.04797","37.723568","","0900","1800","","","003"
"2653000104","2026","2653060000","001","덕포1동그리며,들락날락작은도서관","796","383.19","","1","12","","2026-06-18 09:04:03.000","2026-07-29 11:35:12.000","","부산광역시 사상구 강선로 31 (덕포1동행정복지센터)","Y","","","","","128.985772","35.169427","","0900","1800","","","002"
"2671000265","2026","2671025600","001","정관읍행정복지센터.기장소방서(16-086)","141","7.3","24","","1","N","2026-06-23 18:44:07.000","2026-08-26 17:32:36.000","","부산광역시 기장군 정관읍 용수로 4 (정관읍행정복지센터)","N","","N","","","129.180029","35.325336","","0000","2400","","","003"
"4673000291","2026","1273035000","003","대촌여성경로당(광의)","235","52","37","2","1","","2026-06-30 11:46:08.000","2026-06-30 11:46:08.000","","전남광주통합특별시 구례군 광의면 구만제로 128 (대산마을회관)","","","","","","127.451356","35.245243","","","","","","001"
"5221000637","2026","5221032000","003","대옥산경로당","777-2","93","20","1","2","","2026-07-01 11:20:51.000","2026-07-21 11:12:25.000","","전북특별자치도 김제시 죽산면 옥성3길 69","","","","","","126.828289","35.781265","","","","","","001"
"5221000380","2026","5221039000","003","제상노인정회관","137","100","30","","","","2026-04-13 10:43:51.000","2026-07-21 17:24:23.000","","전북특별자치도 김제시 청하면 대청1길 43-6","","","","","","126.847287","35.887984","","","","","","001"
"5221000598","2026","5221025000","003","몽포경로당","616-9","","","","","","2026-04-20 11:24:57.000","2026-07-21 15:48:12.000","","전북특별자치도 김제시 만경읍 몽포길 46","","","N","","","126.806979","35.870141","","","","","","001"
"4615001452","2026","1215057000","003","대주피오레경로당","1659","104","30","1","1","","2026-05-17 15:48:18.000","2026-05-17 15:48:18.000","","전남광주통합특별시 순천시 팔마1길 25 (연향3지구대주피오레108동)","","","Y","","","127.512256","34.934602","","0900","1800","","","003"
"4673000246","2026","1273036000","003","가동여성경로당","966","80.5","20","2","1","","2026-05-29 10:54:28.000","2026-05-29 10:54:28.000","","전남광주통합특별시 구례군 용방면 가동길 99 (가동여성경로당)","","","","","","127.414259","35.260065","","","","","","001"
"2653000103","2026","2653066100","001","주례쌈지들락날락","595-3","200","","2","3","","2026-06-18 08:40:36.000","2026-09-01 12:20:34.000","","부산광역시 사상구 냉정로 10 (주례3동주민센터)","Y","","","","","129.001389","35.147334","","0900","1800","","","002"
"5111000334","2026","5111061000","004","농협은행후평동지점","692-21","","20","","2","","2026-07-01 13:31:59.000","2026-07-01 13:31:59.000","","강원특별자치도 춘천시 춘천로 302 (농협중앙회후평동지점)","","","","","","127.746547","37.881227","","0900","1600","","","001"
"4728000311","2026","4728037000","003","화산1리경로당","285-8","77.52","46","2","2","","2026-07-02 09:58:42.000","2026-07-03 18:07:13.000","","경상북도 문경시 농암면 중리길 45","","","","","","127.987528","36.576773","","","","","","001"
"5221000405","2026","5221039000","003","월송마을회관","884-1","82.6","15","","","","2026-04-13 11:50:16.000","2026-07-21 17:09:18.000","","전북특별자치도 김제시 청하면 송상리길 319-2","","","N","","","126.840092","35.86884","","","","","","001"
"4673000267","2026","1273033000","003","내죽남성경로당","248-1","40","24","2","1","","2026-05-29 15:26:03.000","2026-05-29 15:26:03.000","","전남광주통합특별시 구례군 토지면 대내안길 30","","","","","","127.521505","35.20824","","","","","","001"
"4673000287","2026","1273035000","003","용전남성경로당","296-3","34","11","2","1","","2026-05-29 16:30:18.000","2026-05-29 16:30:18.000","","전남광주통합특별시 구례군 광의면 용전길 35-4 (용전회관)","","","","","","127.462401","35.257666","","","","","","001"
"2620000072","2026","2620054000","001","영선나릿작은도서관","97-3","","10","","","","2026-06-05 10:30:41.000","2026-06-22 16:48:00.000","","부산광역시 영도구 꿈나무길 25 (영선1동주민센터)","","","","","","129.044694","35.090201","","0900","1800","","","002"
"5274000300","2026","5274035000","001","장수계남우체국","967-4","50","12","2","1","","2026-06-23 17:29:38.000","2026-06-23 17:31:59.000","","전북특별자치도 장수군 계남면 장수로 3078 (장수계남우체국)","","","","","","127.578492","35.703343","","0900","1800","","","001"
"5111000314","2026","5111036000","004","신북농협고탄지점","132-1","","20","","2","","2026-06-28 15:25:05.000","2026-06-28 15:25:05.000","","강원특별자치도 춘천시 사북면 춘화로 526 (신북농협)","","","","","","127.709123","37.988016","","0900","1600","","","001"
